Alabama,AL,,al,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,,ak,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Samoa,AS,,as,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,6807,az,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,,ar,0,0,0,0,0,0,0,0,0,0,0,0,0
California,CA,,ca,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,CO,,co,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,CT,,ct,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,DE,,de,0,0,0,0,0,0,0,0,0,0,0,0,0
District_Of,DC,,dc,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,FL,6841,fl,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,GA,6974,ga,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,GU,,gu,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,HI,,hi,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,ID,,id,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,IL,,il,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,IN,,in,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,IA,6787,ia,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,KS,,ks,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,KY,,ky,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,LA,,la,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,ME,6922,me,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,MD,,md,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,MA,,ma,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,MI,6761,mi,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,MN,6966,mn,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,MS,,ms,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,MO,,mo,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,MT,,mt,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,NE,,ne,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,NV,6867,nv,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Hampshire,NH,6779,nh,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Jersey,NJ,,nj,0,0,0,0,0,0,0,0,0,0,0,0,0
New_Mexico,NM,,nm,0,0,0,0,0,0,0,0,0,0,0,0,0
New_York,NY,,ny,0,0,0,0,0,0,0,0,0,0,0,0,0
North_Carolina,NC,6744,nc,0,0,0,0,0,0,0,0,0,0,0,0,0
North_Dakota,ND,,nd,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern_Mariana,MP,,mp,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,OH,6765,oh,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,OK,,ok,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,OR,,or,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,PA,6861,pa,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto_Rico,PR,,pr,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,RI,,ri,0,0,0,0,0,0,0,0,0,0,0,0,0
South_Carolina,SC,,sc,0,0,0,0,0,0,0,0,0,0,0,0,0
South_Dakota,SD,,sd,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,TN,,tn,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,TX,6818,tx,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,UT,,ut,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,VT,,vt,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,VA,6988,va,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin_Islands,VI,,vi,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,WA,,wa,0,0,0,0,0,0,0,0,0,0,0,0,0
West_Virginia,WV,,wv,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,WI,6849,wi,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,WY,,wy,0,0,0,0,0,0,0,0,0,0,0,0,0
